"","title","release_date"
"95","A Midwinter's Tale","1995-12-01"
"96","La Haine","1995-05-31"
"97","Shopping","1994-12-06"
"98","Heidi Fleiss: Hollywood Madam","1995-12-27"
"99","City Hall","1996-02-16"
"100","Bottle Rocket","1996-02-21"
"101","Mr. Wrong","1996-02-16"
"102","Unforgettable","1996-02-23"
"103","Happy Gilmore","1996-02-16"
"104","The Bridges of Madison County","1995-05-28"
"105","Nobody Loves Me","1994-11-07"
"106","Muppet Treasure Island","1996-02-16"
"107","Catwalk","1995-12-08"
"108","Headless Body in Topless Bar","1995-05-20"
"109","Braveheart","1995-05-24"
"110","Taxi Driver","1976-02-07"
"111","Rumble in the Bronx","1995-01-30"
"112","Before and After","1996-02-23"
"113","Margaret's Museum","1995-09-13"
"114","Happiness Is in the Field","1995-01-31"
"115","Anne Frank Remembered","1995-06-08"
"116","The Young Poisoner's Handbook","1995-01-20"
"117","If Lucy Fell","1996-03-08"
"118","Steal Big Steal Little","1995-09-29"
"119","Race the Sun","1996-03-22"
"120","The Boys of St. Vincent","1992-12-06"
"121","Boomerang","1992-06-30"
"122","Chungking Express","1994-07-14"
"123","The Star Maker","1995-09-21"
"124","Flirting with Disaster","1996-03-22"
"125","The Neverending Story III: Escape from Fantasia","1994-10-26"
"126","The Silences of the Palace","1994-09-30"
"127","Jupiter's Wife","1995-01-01"
"128","Pie in the Sky","1996-02-09"
"129","Angela","1995-01-01"
"130","Frankie Starlight","1995-11-22"
"131","Jade","1995-10-13"
"132","Nueba Yol","1995-08-16"
"133","Sonic Outlaws","1995-08-01"
"134","Down Periscope","1996-03-01"
"135","From the Journals of Jean Seberg","1995-09-08"
"136","Man of the Year","1995-09-15"
"137","The Neon Bible","1995-08-23"
"138","Target","1995-08-01"
"139","Up Close & Personal","1996-03-01"
"140","The Birdcage","1996-03-08"
"141","Virgin Mary","1995-10-12"
"142","The Brothers McMullen","1995-08-09"
"143","Bad Boys","1995-04-07"
"144","The Amazing Panda Adventure","1995-08-25"
"145","The Basketball Diaries","1995-04-21"
"146","An Awfully Big Adventure","1995-07-21"
"147","Amateur","1994-08-05"
"148","Apollo 13","1995-06-30"
"149","Rob Roy","1995-04-13"
"150","The Addiction","1995-01-10"
"151","Batman Forever","1995-06-16"
"152","Belle de Jour","1967-05-24"
"153","Beyond Rangoon","1995-05-24"
"154","Blue in the Face","1995-09-15"
"155","Canadian Bacon","1995-06-08"
"156","Casper","1995-05-26"
"157","Clockers","1995-09-15"
"158","Congo","1995-06-09"
"159","Crimson Tide","1995-05-12"
"160","Crumb","1994-09-10"
"161","Desperado","1995-08-25"
"162","Devil in a Blue Dress","1995-09-15"
"163","Die Hard: With a Vengeance","1995-05-19"
"164","The Doom Generation","1995-10-27"
"165","Feast of July","1995-10-12"
"166","First Knight","1995-07-07"
"167","Free Willy 2 - The Adventure Home","1995-07-19"
"168","Hackers","1995-09-14"
"169","Jeffrey","1995-08-18"
"170","Johnny Mnemonic","1995-05-26"
"171","Judge Dredd","1995-06-30"
"172","Jury Duty","1995-04-12"
"173","Kids","1995-07-28"
"174","Living in Oblivion","1995-01-20"
"175","Lord of Illusions","1995-08-25"
"176","Love & Human Remains","1993-05-20"
"177","Mad Love","1995-05-26"
"178","Mallrats","1995-10-20"
"179","Mighty Morphin Power Rangers: The Movie","1995-06-30"
"180","Moonlight and Valentino","1995-09-29"
"181","Mute Witness","1995-09-28"
"182","Nadja","1994-09-13"
"183","The Net","1995-07-28"
"184","Nine Months","1995-07-12"
"185","Party Girl","1995-06-09"
"186","The Prophecy","1995-09-01"
"187","Reckless","1995-11-17"
"188","Safe","1995-06-23"
"189","The Scarlet Letter","1995-10-13"
"190","The Show","1995-08-25"
"191","Showgirls","1995-09-22"
"192","Smoke","1995-06-09"
"193","Something to Talk About","1995-08-04"
"194","Species","1995-07-07"
"195","The Stars Fell on Henrietta","1995-09-15"
"196","Strange Days","1995-10-13"
"197","The Umbrellas of Cherbourg","1964-02-19"
"198","The Tie That Binds","1995-09-08"
"199","Three Wishes","1995-10-27"
"200","Total Eclipse","1995-11-02"
"201","To Wong Foo, Thanks for Everything! Julie Newmar","1995-09-07"
"202","Under Siege 2: Dark Territory","1995-07-13"
"203","Unstrung Heroes","1995-09-15"
"204","Unzipped","1995-08-11"
"205","A Walk in the Clouds","1995-08-11"
"206","Waterworld","1995-07-28"
"207","White Man's Burden","1995-12-01"
"208","Wild Bill","1995-12-01"
"209","The Browning Version","1994-10-12"
"210","Bushwhacked","1995-08-04"
"211","Burnt by the Sun","1994-05-01"
"212","Before the Rain","1994-06-09"
"213","Before Sunrise","1995-01-27"
"214","Billy Madison","1995-02-10"
"215","The Babysitter","1995-10-17"
"216","Boys on the Side","1995-02-03"
"217","The Cure","1995-04-21"
"218","Castle Freak","1995-08-04"
"219","Circle of Friends","1995-03-16"
"220","Clerks","1994-09-13"
"221","Don Juan DeMarco","1994-10-01"
"222","Disclosure","1994-12-09"
"223","Dream Man","1995-01-01"
"224","Drop Zone","1994-12-08"
"225","Destiny Turns on the Radio","1995-04-28"
"226","Death and the Maiden","1994-05-04"
"227","Dolores Claiborne","1995-03-24"
"228","Dumb and Dumber","1994-12-16"
"229","Eat Drink Man Woman","1994-08-03"
"230","Exotica","1994-09-24"
"231","Exit to Eden","1994-10-14"
"232","Ed Wood","1994-09-27"
"233","French Kiss","1995-05-05"
"234","Forget Paris","1995-05-19"
"235","Far from Home: The Adventures of Yellow Dog","1995-01-13"
"236","A Goofy Movie","1995-04-07"
"237","Hideaway","1995-03-03"
"238","Fluke","1995-06-02"
"239","Farinelli","1994-12-07"
"240","Gordy","1995-05-12"
"241","Gumby: The Movie","1995-12-01"
"242","The Glass Shield","1994-09-16"
"243","Hoop Dreams","1994-09-12"
"244","Heavenly Creatures","1994-09-02"
"245","Houseguest","1995-01-06"
"246","Immortal Beloved","1994-12-16"
"247","Heavyweights","1995-02-17"
"248","The Hunted","1995-02-24"
"249","I.Q.","1994-12-24"
"250","Interview with the Vampire","1994-11-11"
"251","Jefferson in Paris","1995-03-31"
"252","The Jerky Boys","1995-02-03"
"253","Junior","1994-11-22"
"254","Just Cause","1995-02-17"
"255","A Kid in King Arthur's Court","1995-08-11"
"256","Kiss of Death","1995-04-21"
"257","Star Wars","1977-05-25"
"258","Little Women","1994-12-21"
"259","A Little Princess","1995-05-10"
"260","Ladybird Ladybird","1994-02-18"
"261","L'Enfer","1994-02-16"
"262","Like Water for Chocolate","1992-04-16"
"263","Legends of the Fall","1994-12-16"
"264","Major Payne","1995-03-24"
"265","Little Odessa","1994-10-27"
"266","Mi Vida Loca","1994-06-08"
"267","Love Affair","1994-10-21"
"268","Losing Isaiah","1995-03-17"
"269","The Madness of King George","1994-12-28"
"270","Mary Shelley's Frankenstein","1994-11-04"
"271","Man of the House","1995-03-03"
"272","Mixed Nuts","1994-12-21"
"273","Milk Money","1994-08-31"
"274","Miracle on 34th Street","1994-11-18"
"275","Miami Rhapsody","1995-01-27"
"276","My Family","1995-05-03"
"277","Murder in the First","1995-01-20"
"278","Nobody's Fool","1994-12-23"
"279","Nell","1994-12-23"
"280","New Jersey Drive","1995-04-19"
"281","New York Cop","1993-08-14"
"282","Beyond Bedlam","1994-04-22"
"283","Nemesis 2 - Nebula","1995-09-26"
"284","Nina Takes a Lover","1995-03-03"
"285","Natural Born Killers","1994-08-25"
"286","Only You","1994-09-17"
"287","Once Were Warriors","1994-09-02"
"288","Poison Ivy II: Lily","1996-01-16"
"289","Outbreak","1995-03-10"
"290","Leon: The Professional","1994-09-14"
"291","The Perez Family","1995-05-12"
"292","A Pyromaniac's Love Story","1995-04-28"
"293","Pulp Fiction","1994-09-10"
"294","Panther","1995-11-10"
"295","Pushing Hands","1992-02-01"
"296","Priest","1994-01-01"
"297","Quiz Show","1994-09-16"
"298","Picture Bride","1995-05-05"
"299","Queen Margot","1994-05-13"
"300","The Quick and the Dead","1995-02-09"
"301","Roommates","1995-03-01"
"302","Prêt-à-Porter","1994-12-23"
"303","Three Colors: Red","1994-05-27"
"304","Three Colors: Blue","1993-01-10"
"305","Three Colors: White","1994-01-26"
"306","Red Firecracker, Green Firecracker","1994-10-14"
"307","Rent-a-Kid","1995-01-01"
"308","Relative Fear","1995-10-03"
"309","Stuart Saves His Family","1995-04-12"
"310","The Swan Princess","1994-11-18"
"311","The Secret of Roan Inish","1994-01-01"
"312","The Specialist","1994-10-07"
"313","Stargate","1994-10-27"
"314","The Santa Clause","1994-11-10"
"315","The Shawshank Redemption","1994-09-23"
"316","Shallow Grave","1994-12-22"
"317","Suture","1993-09-14"
"318","Strawberry and Chocolate","1993-01-01"
"319","Swimming with Sharks","1994-09-10"
"320","The Sum of Us","1994-07-12"
"321","Senior Trip","1995-09-08"
"322","To Live","1994-06-30"
"323","Tank Girl","1995-03-31"
"324","Tales from the Crypt: Demon Knight","1995-01-13"
"325","Star Trek: Generations","1994-11-17"
"326","Tales from the Hood","1995-05-24"
"327","Tom & Viv","1994-04-15"
"328","Village of the Damned","1995-04-28"
"329","Tommy Boy","1995-03-31"
"330","Vanya on 42nd Street","1994-09-13"
"331","The Underneath","1995-04-28"
"332","The Walking Dead","1995-02-24"
"333","What's Eating Gilbert Grape","1993-12-17"
"334","Virtuosity","1995-08-04"
"335","While You Were Sleeping","1995-04-21"
"336","The War","1994-11-04"
"337","Double Happiness","1994-09-07"
"338","Muriel's Wedding","1994-09-29"
"339","The Baby-Sitters Club","1995-08-18"
"340","Ace Ventura: Pet Detective","1994-02-04"
"341","The Adventures of Priscilla, Queen of the Desert","1994-05-31"
"342","Backbeat","1994-04-01"
"343","Bitter Moon","1992-09-02"
"344","Bullets Over Broadway","1994-10-14"
"345","Clear and Present Danger","1994-08-03"
"346","The Client","1994-07-20"
"347","Corrina, Corrina","1994-08-12"
"348","Crooklyn","1994-05-13"
"349","The Crow","1994-05-11"
"350","Cobb","1994-12-02"
"351","The Flintstones","1994-05-26"
"352","Forrest Gump","1994-07-06"
"353","Four Weddings and a Funeral","1994-03-09"
"354","Higher Learning","1995-01-11"
"355","I Like It Like That","1994-10-14"
"356","I Love Trouble","1994-06-29"
"357","It Could Happen to You","1994-07-29"
"358","The Jungle Book","1994-12-23"
"359","The Wonderful, Horrible Life of Leni Riefenstahl","1993-09-11"
"360","The Lion King","1994-06-23"
"361","Little Buddha","1993-12-01"
"362","New Nightmare","1994-10-13"
"363","The Mask","1994-07-29"
"364","Maverick","1994-05-20"
"365","Mrs. Parker and the Vicious Circle","1994-09-07"
"366","The Naked Gun 33⅓: The Final Insult","1994-03-18"
"367","The Paper","1994-03-18"
"368","Reality Bites","1994-02-18"
"369","Red Rock West","1993-07-08"
"370","Ri¢hie Ri¢h","1994-12-19"
"371","Safe Passage","1994-12-01"
"372","The River Wild","1994-09-30"
"373","Speed","1994-06-09"
"374","Speechless","1994-12-16"
"375","Timecop","1994-09-15"
"376","True Lies","1994-07-14"
"377","When a Man Loves a Woman","1994-04-29"
"378","Wolf","1994-06-17"
"379","Wyatt Earp","1994-06-24"
"380","Bad Company","1995-01-20"
"381","A Man of No Importance","1994-12-22"
"382","S.F.W.","1994-09-15"
"383","A Low Down Dirty Shame","1994-11-23"
"384","Boys Life: Three Stories of Love, Lust, and Liberation","1994-09-30"
"385","Colonel Chabert","1994-01-01"
"386","Faster, Pussycat! Kill! Kill!","1965-08-06"
"387","Jason's Lyric","1994-09-28"
"388","The Secret Adventures of Tom Thumb","1993-12-10"
"389","Street Fighter","1994-12-22"
"390","Coldblooded","1995-09-15"
"391","Desert Winds","1997-12-31"
"392","Fall Time","1995-05-13"
"393","The Fear","1995-01-20"
"394","Frank and Ollie","1995-10-20"
"395","Girl in the Cadillac","1995-10-24"
"396","Homage","1995-05-03"
"397","Mirage","1995-11-21"
"398","Open Season","1996-05-03"
"399","Dos Crímenes","1995-05-26"
"400","Brother Minister: The Assassination of Malcolm X","1995-03-01"
"401","Highlander: The Final Dimension","1994-11-29"
"402","Federal Hill","1995-02-24"
"403","In the Mouth of Madness","1994-12-12"
"404","8 Seconds","1994-02-25"
"405","Above the Rim","1994-03-23"
"406","Addams Family Values","1993-11-19"
"407","Martin Lawrence: You So Crazy","1994-04-27"
"408","The Age of Innocence","1993-09-17"
"409","Airheads","1994-08-05"
"410","The Air Up There","1994-01-07"
"411","Another Stakeout","1993-07-22"
"412","Bad Girls","1994-04-22"
"413","Barcelona","1994-07-29"
"414","Being Human","1994-05-06"
"415","The Beverly Hillbillies","1993-10-15"
"416","Beverly Hills Cop III","1994-05-24"
"417","Black Beauty","1994-07-29"
"418","Blink","1994-01-26"
"419","Blown Away","1994-07-01"
"420","Blue Chips","1994-02-18"
"421","Blue Sky","1994-09-16"
"422","Body Snatchers","1993-06-09"
"423","Boxing Helena","1993-06-18"
"424","A Bronx Tale","1993-09-14"
"425","Cabin Boy","1994-01-07"
"426","Calendar Girl","1993-09-03"
"427","Carlito's Way","1993-11-10"
"428","City Slickers II: The Legend of Curly's Gold","1994-06-10"
"429","Clean Slate","1994-05-06"
"430","Cliffhanger","1993-05-28"
"431","Coneheads","1993-07-23"
"432","Color of Night","1994-08-19"
"433","Cops & Robbersons","1994-04-15"
"434","The Cowboy Way","1994-06-03"
"435","Dangerous Game","1993-11-19"
"436","Dave","1993-05-07"
"437","Dazed and Confused","1993-09-24"
"438","Demolition Man","1993-10-08"
"439","The Endless Summer 2","1994-06-03"
"440","Even Cowgirls Get the Blues","1994-05-13"
"441","Fatal Instinct","1993-10-29"
"442","Farewell My Concubine","1993-09-16"
"443","The Favor","1994-04-29"
"444","Fearless","1993-10-15"
"445","Fear of a Black Hat","1994-10-28"
"446","With Honors","1994-04-29"
"447","Flesh and Bone","1993-11-05"
"448","Widows' Peak","1994-05-13"
"449","For Love or Money","1993-10-01"
"450","The Firm","1993-06-30"
"451","Free Willy","1993-07-16"
"452","Fresh","1994-08-24"
"453","The Fugitive","1993-08-06"
"454","Geronimo: An American Legend","1993-12-10"
"455","The Getaway","1994-02-11"
"456","Getting Even with Dad","1994-06-17"
"457","Go Fish","1994-06-10"
"458","A Good Man in Africa","1994-07-14"
"459","Guilty as Sin","1993-06-04"
"460","Hard Target","1993-08-20"
"461","Heaven & Earth","1993-12-24"
"462","Hot Shots! Part Deux","1993-05-21"
"463","Live Nude Girls","1995-12-08"
"464","The Englishman Who Went Up a Hill But Came Down a Mountain","1995-05-12"
"465","The House of the Spirits","1993-10-19"
"466","House Party 3","1994-01-01"
"467","The Hudsucker Proxy","1994-03-11"
"468","I'll Do Anything","1994-02-04"
"469","In the Army Now","1994-08-12"
"470","In the Line of Fire","1993-07-08"
"471","In the Name of the Father","1993-12-12"
"472","The Inkwell","1994-04-22"
"473","What's Love Got to Do with It","1993-06-09"
"474","Jimmy Hollywood","1994-03-30"
"475","Judgment Night","1993-10-15"
"476","Jurassic Park","1993-06-11"
"477","Kalifornia","1993-09-01"
"478","Killing Zoe","1993-10-01"
"479","King of the Hill","1993-08-20"
"480","Lassie","1994-07-22"
"481","Last Action Hero","1993-06-18"
"482","Life With Mikey","1993-06-04"
"483","Lightning Jack","1994-03-11"
"484","M. Butterfly","1993-09-09"
"485","Made in America","1993-05-27"
"486","Malice","1993-09-29"
"487","The Man without a Face","1993-08-25"
"488","Manhattan Murder Mystery","1993-08-18"
"489","Menace II Society","1993-05-26"
"490","Executive Decision","1996-03-15"
"491","In the Realm of the Senses","1976-05-15"
"492","What Happened Was...","1994-09-09"
"493","Much Ado About Nothing","1993-05-07"
"494","Mr. Jones","1993-10-08"
"495","Mr. Wonderful","1993-10-15"
"496","Mrs. Doubtfire","1993-11-24"
"497","Naked","1993-09-14"
"498","The Next Karate Kid","1994-07-18"
"499","The New Age","1994-09-16"
"500","No Escape","1994-04-29"
"501","North","1994-07-22"
"502","Orlando","1992-09-01"
"503","A Perfect World","1993-11-24"
"504","Philadelphia","1993-12-22"
"505","The Piano","1993-05-19"
"506","Poetic Justice","1993-07-23"
"507","The Program","1993-09-24"
"508","The Puppet Masters","1994-10-21"
"509","Radioland Murders","1994-10-21"
"510","The Ref","1994-03-09"
"511","The Remains of the Day","1993-11-05"
"512","Renaissance Man","1994-06-03"
"513","Rising Sun","1993-07-30"
"514","The Road to Wellville","1994-10-28"
"515","RoboCop 3","1993-04-17"
"516","Robin Hood: Men in Tights","1993-07-28"
"517","Romeo Is Bleeding","1993-09-13"
"518","Romper Stomper","1992-03-05"
"519","Ruby in Paradise","1993-10-08"
"520","Rudy","1993-09-17"
"521","The Saint of Fort Washington","1993-11-03"
"522","Savage Nights","1992-08-19"
"523","Schindler's List","1993-11-29"
"524","The Scout","1994-09-30"
"525","Searching for Bobby Fischer","1993-08-13"
"526","Second Best","1994-09-30"
"527","The Secret Garden","1993-08-13"
"528","Serial Mom","1994-04-13"
"529","The Shadow","1994-07-01"
"530","Shadowlands","1993-12-25"
"531","Short Cuts","1993-09-05"
"532","A Simple Twist of Fate","1994-09-02"
"533","Sirens","1993-10-01"
"534","Six Degrees of Separation","1993-12-08"
"535","Sleepless in Seattle","1993-06-24"
"536","Sliver","1993-05-21"
"537","Blade Runner","1982-06-25"
"538","Son in Law","1993-07-02"
"539","So I Married an Axe Murderer","1993-07-30"
"540","Striking Distance","1993-09-17"
"541","Harem","1985-11-20"
"542","Super Mario Bros.","1993-05-28"
"543","Surviving the Game","1994-04-15"
"544","Terminal Velocity","1994-09-23"
"545","Thirty Two Short Films About Glenn Gould","1993-11-26"
"546","Threesome","1994-04-08"
"547","The Nightmare Before Christmas","1993-10-09"
"548","The Three Musketeers","1993-11-11"
"549","Tombstone","1993-12-25"
"550","Trial by Jury","1994-09-09"
"551","True Romance","1993-09-09"
"552","The War Room","1993-12-05"
"553","The Pagemaster","1994-11-23"
"554","Paris, France","1994-02-04"
"555","The Beans of Egypt, Maine","1994-01-01"
"556","Killer","1994-09-14"
"557","Welcome to the Dollhouse","1995-05-24"
"558","Germinal","1993-09-29"
"559","Chasers","1994-04-22"
"560","Cronos","1993-09-12"
"561","Naked in New York","1993-11-10"
"562","Kika","1993-10-28"
"563","Bhaji on the Beach","1994-01-21"
"564","Little Big League","1994-06-29"
"565","The Slingshot","1993-09-24"
"566","Wide Eyed and Legless","1993-09-05"
"567","Foreign Student","1994-07-29"
"568","Ciao, Professore!","1992-10-01"
"569","Spanking the Monkey","1994-01-15"
"570","The Little Rascals","1994-08-05"
"571","À la mode","1993-09-10"
"572","Andre","1994-08-17"
"573","The Escort","1993-01-01"
"574","Princess Caraboo","1994-09-16"
"575","The Celluloid Closet","1996-01-30"
"576","Café au Lait","1993-01-01"
"577","Dear Diary","1993-10-12"
"578","I Don't Want to Talk About It","1993-05-20"
"579","The Brady Bunch Movie","1995-02-16"
"580","Home Alone","1990-11-09"
"581","Ghost","1990-07-12"
"582","Aladdin","1992-11-25"
"583","Terminator 2: Judgment Day","1991-07-01"
"584","Dances with Wolves","1990-11-09"
"585","Tough and Deadly","1995-02-14"
"586","Batman","1989-06-23"
"587","The Silence of the Lambs","1991-02-01"
"588","Snow White and the Seven Dwarfs","1937-12-20"
"589","Beauty and the Beast","1991-11-13"
"590","Pinocchio","1940-02-23"
"591","Pretty Woman","1990-03-23"
"592","Window to Paris","1993-12-01"
"593","The Wild Bunch","1969-06-17"
"594","Love and a .45","1994-11-23"
"595","The Wooden Man's Bride","1994-02-05"
"596","A Great Day in Harlem","1994-09-27"
"597","Bye Bye Love","1995-03-16"
"598","One Fine Day","1996-12-20"
"599","Candyman: Farewell to the Flesh","1995-03-17"
"600","Century","1993-12-31"
"601","Fargo","1996-04-05"
"602","Homeward Bound II: Lost in San Francisco","1996-03-08"
"603","Heavy Metal","1981-08-07"
"604","Hellraiser: Bloodline","1996-03-08"
"605","The Pallbearer","1996-05-03"
"606","Jane Eyre","1996-02-09"
"607","Loaded","1996-04-12"
"608","Bread and Chocolate","1974-05-05"
"609","The Aristocats","1970-12-23"
"610","The Flower of My Secret","1995-09-22"
"611","Two Much","1996-02-14"
"612","Ed","1996-03-15"
"613","Scream of Stone","1991-01-01"
"614","My Favorite Season","1993-05-14"
"615","A Modern Affair","1996-09-06"
"616","Condition Red","1995-12-08"
"617","Halfaouine: Boy of the Terraces","1990-01-01"
"618","A Thin Line Between Love and Hate","1996-04-04"
"619","The Last Supper","1995-09-08"
"620","Primal Fear","1996-04-03"
"621","Rude","1995-09-08"
"622","Carried Away","1996-01-26"
"623","All Dogs Go to Heaven 2","1996-03-29"
"624","Land and Freedom","1995-01-01"
"625","Denise Calls Up","1995-05-17"
"626","Theodore Rex","1995-12-14"
"627","A Family Thing","1996-03-29"
"628","Frisk","1996-03-22"
"629","Sgt. Bilko","1996-03-29"
"630","Jack & Sarah","1995-06-02"
"631","Girl 6","1996-03-22"
"632","Diabolique","1996-03-22"
"633","Little Indian, Big City","1994-12-14"
"634","Roula","1995-09-11"
"635","Peanuts – Die Bank zahlt alles","1996-03-21"
"636","Happy Weekend","1996-03-14"
"637","Nelly and Monsieur Arnaud","1996-04-12"
"638","Courage Under Fire","1996-07-04"
"639","Mission: Impossible","1996-05-22"
"640","Cold Fever","1995-02-10"
"641","Moll Flanders","1996-06-14"
"642","The Superwife","1996-03-06"
"643","301, 302","1995-04-22"
"644","DragonHeart","1996-05-31"
"645","Und keiner weint mir nach","1996-02-29"
"646","My Mother's Courage","1995-09-12"
"647","Eddie","1996-05-31"
"648","Yankee Zulu","1993-12-01"
"649","Billy's Holiday","1995-07-26"
"650","Purple Noon","1960-03-10"
"651","August","1996-08-08"
"652","James and the Giant Peach","1996-04-12"
"653","Fear","1996-04-12"
"654","Kids in the Hall: Brain Candy","1996-04-02"
"655","Faithful","1996-04-03"
"656","Underground","1995-04-11"
"657","All Things Fair","1995-03-08"
"658","Bloodsport II","1996-03-01"
"659","Pather Panchali","1955-08-26"
"660","The World of Apu","1959-05-01"
"661","Mystery Science Theater 3000: The Movie","1996-04-19"
"662","Tarantella","1996-03-15"
"663","Space Jam","1996-11-15"
"664","Barbarella","1968-10-10"
"665","Hostile Intentions","1995-01-01"
"666","They Bite","1996-01-01"
"667","Some Folks Call It a Sling Blade","1994-03-26"
"668","The Run of the Country","1995-09-22"
"669","Alphaville","1965-05-05"
"670","Coup de Torchon","1981-11-04"
"671","Tigrero: A Film That Was Never Made","1994-01-01"
"672","The Eye of Vichy","1993-05-20"
"673","Windows","1980-01-18"
"674","It's My Party","1996-03-22"
"675","Country Life","1994-10-27"
"676","Operation Dumbo Drop","1995-07-28"
"677","The Promise","1995-02-16"
"678","Mrs. Winterbourne","1996-04-19"
"679","Solo","1996-10-23"
"680","Under The Domim Tree","1994-01-01"
"681","The Substitute","1996-04-19"
"682","True Crime","1996-03-12"
"683","Butterfly Kiss","1995-08-18"
"684","Feeling Minnesota","1996-09-13"
"685","Delta of Venus","1995-06-09"
"686","To Cross the Rubicon","1991-01-01"
"687","Angus","1995-09-15"
"688","Priest Daens","1992-09-01"
"689","Faces","1968-11-24"
"690","Boys","1996-05-10"
"691","The Quest","1996-04-19"
"692","Cosi","1996-03-04"
"693","Sunset Park","1996-04-26"
"694","Mulholland Falls","1996-04-26"
"695","The Truth About Cats & Dogs","1996-04-26"
"696","Oliver & Company","1988-11-18"
"697","Celtic Pride","1996-04-19"
"698","Flipper","1996-05-17"
"699","Captives","1994-05-03"
"700","Of Love and Shadows","1994-05-10"
"701","Dead Man","1995-12-23"
"702","The Horseman on the Roof","1995-09-20"
"703","Switchblade Sisters","1975-01-05"
"704","Mouth to Mouth","1995-11-10"
"705","The Visitors","1993-01-27"
"706","Multiplicity","1996-07-19"
"707","The Haunted World of Edward D. Wood, Jr.","1996-05-01"
"708","Two Friends","2002-03-20"
"709","The Craft","1996-05-03"
"710","The Great White Hype","1996-05-03"
"711","Last Dance","1996-05-02"
"712","War Stories Our Mother Never Told Us",""
"713","Cold Comfort Farm","1995-01-01"
"714","Institute Benjamenta, or This Dream People Call Human Life","1995-08-01"
"715","Heaven's Prisoners","1996-05-17"
"716","Original Gangstas","1996-05-10"
"717","The Rock","1996-06-06"
"718","Getting Away with Murder","1996-04-12"
"719","Cemetery Man","1994-03-25"
"720","Twister","1996-05-10"
